Card Name,Card Link,Card ID,archive,Information through ATE,It can be taken to EREN,Danger type 3.,Danger type 2.,Hazard type,Hazard characterization,Keywords,2. FILTRATION,Information is ready,"Document, publication related to the case 2.",Information source name/affiliation,Primary source of information,"Document, publication related to the case",Action taken,Additional measures,2. FILTER Are risk management options known?,2. FILTER Severity,2. FILTER Measure,2. FILTER Proximity in time,2. FILTRATION Groundedness,Total score of SCREENING 2,1. FILTRATION,2. RESULT OF FILTERING,Result of FILTER 1,Pre-screening,It requires confidential case management,Event type,Regularity of revaluation,"Document, publication related to the case 3.",What driver affects it?,Driver effect,1. Justification of FILTERING,Date of event (appearance of risk).,Date of access to information,Description of action,What is the reason for the increased exposure/sensitivity?,Signal,Notifiable body,Rationale for pre-screening,DRIVERs 1,HAZARDcat 1,PRODUCT 1,EREN status,HAZARDcat 2,PRODcat 2,DRIVERs 2,SOME information,2. Justification of FILTERING,It must be indicated as a partner institution,Unnamed: 53
People Claim Eating Old Raw Meat Gets Them High,https://trello.com/c/6094ea5b8ca36916d58dcb38,6094ea5b8ca36916d58dcb38,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Impact of TBHQ (E319) food additives & PFAS packaging on the immune system,https://trello.com/c/608fc7136c6b5f6cd1abf849,608fc7136c6b5f6cd1abf849,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Use of nanoemulsion (H. voyronii essential oil) as a pesticide against mealybugs,https://trello.com/c/608fb0e3d26649425f04f65c,608fb0e3d26649425f04f65c,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pets have died due to aflatoxin-contaminated pet food,https://trello.com/c/601a76a081a2330b88ee0b97,601a76a081a2330b88ee0b97,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Due to climate change, poisonings caused by domoic acid toxin may become more common",https://trello.com/c/5ffd8b19db5b960ae1400849,5ffd8b19db5b960ae1400849,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Listeria Monocytogenes serovar,https://trello.com/c/5e2ae06f86178b2ea9dce4aa,5e2ae06f86178b2ea9dce4aa,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GMO mosquitoes, new technologies against mosquito vectors",https://trello.com/c/5e2adffd006676274c0d8f66,5e2adffd006676274c0d8f66,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Substitutes for plastics in the food industry - bamboo,https://trello.com/c/5dd65f3e4fb5b422ee908e27,5dd65f3e4fb5b422ee908e27,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nuclear pollution,https://trello.com/c/5d7b845c7d36cc5158779ab4,5d7b845c7d36cc5158779ab4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCPG in lychee can cause acute encephalitis (and even death) in malnourished children,https://trello.com/c/5d553a4409dc842ceb434885,5d553a4409dc842ceb434885,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70 percent of the world's macadamia nut crop comes from a single tree,https://trello.com/c/5d539e3423b61a3a24ec3f77,5d539e3423b61a3a24ec3f77,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acinetobacter in raw meat,https://trello.com/c/5d42eb682169ff15d1fecc93,5d42eb682169ff15d1fecc93,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BARF feeding,https://trello.com/c/5d35b5b030333666bae91055,5d35b5b030333666bae91055,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecdysterone in spinach,https://trello.com/c/5d1a4ff9a028898a04595da1,5d1a4ff9a028898a04595da1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Homemade rice and other plant-based milks,https://trello.com/c/5cade2c09aed8882e413bcc2,5cade2c09aed8882e413bcc2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antibiotics in citrus fruits,https://trello.com/c/5c92014df6c44258df1cb9a4,5c92014df6c44258df1cb9a4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plasticsoup,https://trello.com/c/5c8f56fdf2e2484f2b826764,5c8f56fdf2e2484f2b826764,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Food poisoning due to consuming decorative pumpkins.,https://trello.com/c/5c87bc9bcdb6c5878ac332ee,5c87bc9bcdb6c5878ac332ee,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black foods,https://trello.com/c/5c87b70ea74ce115f32ff7f4,5c87b70ea74ce115f32ff7f4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
First detection of Moku virus in Belgium in the invasive Asian hornet wasp (Vespa velutina nigrithorax) in 2016,https://trello.com/c/5c81168a449d442e01ef7dcb,5c81168a449d442e01ef7dcb,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oxalic acid in green smoothies,https://trello.com/c/5c6c1fb4eedef43d81e361b6,5c6c1fb4eedef43d81e361b6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antimicrobial resistance in fish and seafood,https://trello.com/c/5c5c43ed48f0d951599b199a,5c5c43ed48f0d951599b199a,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
About FCChumon,https://trello.com/c/671f7f765b7c961614a64acb,671f7f765b7c961614a64acb,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil: Veto Dangerous Pesticide Bill,https://trello.com/c/65a641150194f55548583ddb,65a641150194f55548583ddb,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pesticide use negatively affects bumble bees across European landscapes,https://trello.com/c/659cf3e8821363bb24dfa35d,659cf3e8821363bb24dfa35d,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPA Sued for Approving Toxic Herbicides With Agent Orange Chemical,https://trello.com/c/64c8b3a1123109178ffdc4aa,64c8b3a1123109178ffdc4aa,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Incredible bacterium can transfer its genes into plants for desired traits,https://trello.com/c/6475aa7354beda15f01b5d1b,6475aa7354beda15f01b5d1b,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bee-harming pesticide use given emergency authorisation,https://trello.com/c/63f47b12ff9cfc1265ae9554,63f47b12ff9cfc1265ae9554,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reduction in Five Harmful Substances in Fried Potato Chips by Pre-Soaking Treatment with Different Tea Extracts,https://trello.com/c/63e20abc6195ce111fd769fa,63e20abc6195ce111fd769fa,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bee-free honey developed via precision fermentation,https://trello.com/c/63c5bdb96afcee018723d12e,63c5bdb96afcee018723d12e,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New EU rules allow safe recycled plastics to be used in food packaging,https://trello.com/c/634e48cdbca65e014000e5c2,634e48cdbca65e014000e5c2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sorghum,https://trello.com/c/631737a7d4058e04296f5fe5,631737a7d4058e04296f5fe5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Recent Advances in Bio-Based Smart Active Packaging Materials,https://trello.com/c/62fb900e7ae5a979970a790e,62fb900e7ae5a979970a790e,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFOS hot spot contamination of meat (M0171),https://trello.com/c/628f50ddf939e06c968c2533,628f50ddf939e06c968c2533,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salicylaldehyde for Fungal and Pre- and Post-Emergent Weed Control,https://trello.com/c/627a191bbb5efc1724d9ad52,627a191bbb5efc1724d9ad52,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reduction of Bacterial Enteric Pathogens on Tomato Skin Surfaces,https://trello.com/c/6246acc9c44d346388c15566,6246acc9c44d346388c15566,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New theory on AMR: Genetic transmission may occur over much wider ranges than previously thought.,https://trello.com/c/623c545cebe72b265afbe3c7,623c545cebe72b265afbe3c7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Omega3 enriching food,https://trello.com/c/6214bf9d8b9aff5819d8fe72,6214bf9d8b9aff5819d8fe72,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morel poisoning,https://trello.com/c/619cdce4e873025babd9d966,619cdce4e873025babd9d966,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCM (dilated cardiomyopathy) or dilated cardiomyopathy in dogs from meat and grain-free diets,https://trello.com/c/5d5657684bb62158157feaf1,5d5657684bb62158157feaf1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Incorporation of antimicrobial resistance genes in humans by plant consumption,https://trello.com/c/5d42d3e1b9b85d7f9d25a3af,5d42d3e1b9b85d7f9d25a3af,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indoor farming/Vertical farming,https://trello.com/c/5d2335079df6e28717754f18,5d2335079df6e28717754f18,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New phleboviruses,https://trello.com/c/5ca5be9ee261c76ff6cfb952,5ca5be9ee261c76ff6cfb952,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pyrrolizidine alkaloids in tea,https://trello.com/c/5c5d6863cadb930a2a5d4e04,5c5d6863cadb930a2a5d4e04,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assessment of Dietary Intake of Iodine and Risk of Iodine Deficiency in Children with Classical Galactosaemia on Dietary Treatment,https://trello.com/c/63e20cabe88a5a1d1eb0a192,63e20cabe88a5a1d1eb0a192,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coumarin in food supplements - risk assessment,https://trello.com/c/618e3818ced49403826018d5,618e3818ced49403826018d5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pretreating soil with ethanol protects plants from drought,https://trello.com/c/633bec129053d30070b70e11,633bec129053d30070b70e11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lamination of Cast Hemp Paper with Bio-Based Plastics for Sustainable Packaging: Structure-Thermomechanical Properties Relationship and Biodegradation Studies,https://trello.com/c/633bec38851d2a00d70b9032,633bec38851d2a00d70b9032,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Incredible Edible Food Wrapper,https://trello.com/c/63cf9d4553e828d8fb0bc026,63cf9d4553e828d8fb0bc026,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Food from the trash can: Will dumpster diving soon be legal?,https://trello.com/c/63e20c3bb74dd21d0c5c361e,63e20c3bb74dd21d0c5c361e,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Foodborne Parasites in Different Food Chains,https://trello.com/c/63db7558e8c021e7844ed288,63db7558e8c021e7844ed288,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plastic-eating cyanobacteria to tackle marine waste,https://trello.com/c/63c5beb33809c100210ceed2,63c5beb33809c100210ceed2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Citrus black spot,https://trello.com/c/62cd43febb585908031b97cf,62cd43febb585908031b97cf,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vegan baby formula,https://trello.com/c/63cf9f66bd369c285d2c6470,63cf9f66bd369c285d2c6470,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Human Bocavirus in bivalve shellfish (M0176),https://trello.com/c/628f52c78a355a61f6e76a33,628f52c78a355a61f6e76a33,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pesticide-resistant fungus Rhizoctonia solani in potatoes,https://trello.com/c/62025cba32abf10ac01ddf77,62025cba32abf10ac01ddf77,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hepatitis E virus in pork,https://trello.com/c/600863dce52c9c77fd77ba3a,600863dce52c9c77fd77ba3a,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Epizootic haemorrhagic disease: UK 'closely monitoring' spread of fatal cow disease in Europe,https://trello.com/c/651fb700725d8135c89b975a,651fb700725d8135c89b975a,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCS submits 'novel technology' notification for recycled polystyrene as safe food contact material under new EU regulation,https://trello.com/c/64c8b3cc39fae0b521bc4116,64c8b3cc39fae0b521bc4116,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adulterated milk on supermarket shelves in Italy?,https://trello.com/c/66559a01541599435eaac2ad,66559a01541599435eaac2ad,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bioactive extracts boost foods’ nutritional and sensory properties,https://trello.com/c/644794b3ec59172bf1323587,644794b3ec59172bf1323587,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gene engineered (GM) probiotics,https://trello.com/c/5dd65edd5849ac8e84168f36,5dd65edd5849ac8e84168f36,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
European consumer advocates demand stricter regulations on acrylamide in food,https://trello.com/c/669f6e4132aa2d6610c455f9,669f6e4132aa2d6610c455f9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paella rice could disappear,https://trello.com/c/65e6c977841cbab6d3e926a9,65e6c977841cbab6d3e926a9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Should We Scrap Best-Before Date?,https://trello.com/c/66559aee731e1b13e0e46328,66559aee731e1b13e0e46328,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microdosing of psychoactive ingredients as food supplements,https://trello.com/c/667a7c056fcc1bce113f33fe,667a7c056fcc1bce113f33fe,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WHO issues advice after world's first human death in China from H3N8 bird flu,https://trello.com/c/64632e31af97e65c9be441aa,64632e31af97e65c9be441aa,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Recent advances in Pickering emulsions for inhibiting foodborne bacteria,https://trello.com/c/678f5cb88718f93b760477e8,678f5cb88718f93b760477e8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advancements and Challenges in Nanoscale Zero-Valent Iron-Activated Persulfate Technology for the Removal of Endocrine-Disrupting Chemicals,https://trello.com/c/6761855f1deffc5edaea2b82,6761855f1deffc5edaea2b82,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EU breaks promise to stop export of banned toxic pesticides,https://trello.com/c/6799f591d414ea263ccee689,6799f591d414ea263ccee689,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXOSOMM Looks to the Benefits of Mother's Milk to Bring New Bioactive Ingredient for Medical Food Space,https://trello.com/c/6475aaaabdb7915c9b388266,6475aaaabdb7915c9b388266,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Time of Energy Intake: Association with Weight Status, Diet Quality, and Sociodemographic Characteristics in Brazil",https://trello.com/c/67430d0bc45130e4a615b6ad,67430d0bc45130e4a615b6ad,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acrylamide in vegetable chips,https://trello.com/c/5f0ee9be5e5e416a38a45350,5f0ee9be5e5e416a38a45350,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Food contaminants formed during heat-treatment,https://trello.com/c/5c9b7664fb0582435686f45f,5c9b7664fb0582435686f45f,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Waste from Food and Agro-Food Industries as Pigment Sources: Recovery Techniques, Stability and Food Applications",https://trello.com/c/63a065fea003380188a35b37,63a065fea003380188a35b37,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Food fraud increasing,https://trello.com/c/62555b1dd31f3343013b2c17,62555b1dd31f3343013b2c17,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Invasive seaweed extract found to stimulate defence mechanisms in vines,https://trello.com/c/64ad1695cb9f72bcb5838688,64ad1695cb9f72bcb5838688,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Researcher explores using peanut skins in food, livestock feed",https://trello.com/c/63204f2da0903000fbd0c026,63204f2da0903000fbd0c026,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Circular farming: using waste as fertiliser,https://trello.com/c/5c5d3ed87a6f737290f08cba,5c5d3ed87a6f737290f08cba,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fungi-based packaging: Meet the start-up replacing plastic with mycelia for ‘high performance’ alternative,https://trello.com/c/64632eafc7b5c4489575f59f,64632eafc7b5c4489575f59f,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Spread of MCR-Producing Salmonella enterica Isolates,https://trello.com/c/62fb90cf457deb6be7167aad,62fb90cf457deb6be7167aad,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Homemade-baby-formula-recipes,https://trello.com/c/62cd43446ed29b8df5248d3f,62cd43446ed29b8df5248d3f,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How do artificial sweeteners interrupt the human microbiome and metabolic response?,https://trello.com/c/615c1a3851f46739a106a1c8,615c1a3851f46739a106a1c8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Staphylococcus saprophyticus, responsible for urinary tract infections, has been identified as a foodborne pathogen",https://trello.com/c/60d481248e23581738a2ab1e,60d481248e23581738a2ab1e,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alternaria in tomato products,https://trello.com/c/60c85c1394c9cb51512316b8,60c85c1394c9cb51512316b8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Five new Listeria species identified,https://trello.com/c/60b61a1b7252748a5ece0b73,60b61a1b7252748a5ece0b73,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella and Campylobacter continue to show high levels of antibiotic resistance,https://trello.com/c/6246aa208e0c7c34b03cd9f2,6246aa208e0c7c34b03cd9f2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bacteriophages in food,https://trello.com/c/5c9ce4c99c453880e06041ad,5c9ce4c99c453880e06041ad,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Organic silicone (OSS) surfactant adjuvant,https://trello.com/c/5c8123856d0a631a49173ab4,5c8123856d0a631a49173ab4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shiga toxin-producing E. coli O121 in flour,https://trello.com/c/5cadd9deeb6f91176b524957,5cadd9deeb6f91176b524957,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lead in eggs from hens in city backyards raises urban farming concerns,https://trello.com/c/632055153490620016bad54d,632055153490620016bad54d,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Home canning predisposes Italy to botulism infections,https://trello.com/c/63e20e298a726ecd6400570e,63e20e298a726ecd6400570e,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advancing in situFood Monitoring Through a Smart Lab-in-a-Package System Demonstrated by the Detection of Salmonellain Whole Chicken,https://trello.com/c/64d1f2037160852fd7b5ad51,64d1f2037160852fd7b5ad51,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nigeria may edge out as world second-largest producers of ginger,https://trello.com/c/66559a218e0052d60ff1e8bc,66559a218e0052d60ff1e8bc,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-MCPD esters in olive oil,https://trello.com/c/5d42ef97a9c89e3c77140f05,5d42ef97a9c89e3c77140f05,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cell-cultured cocoa,https://trello.com/c/634e482b8ec128040baca736,634e482b8ec128040baca736,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potential of Artemisia dubia Wall Biomass for Natural Crop Protection,https://trello.com/c/65604f9955f13ef095a4fc52,65604f9955f13ef095a4fc52,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coronavirus in the food chain,https://trello.com/c/5f7c2579a41a437d6684205c,5f7c2579a41a437d6684205c,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Baylisascaris procyonis,  the raccoon roundworm,  and the zoonotic risk in Europe",https://trello.com/c/6671449cd3d54b766a46e199,6671449cd3d54b766a46e199,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New ‘spray-on wrapper’ might be a plastic-free food packaging alternative,https://trello.com/c/63db748e735a6ac5ba0bcd1f,63db748e735a6ac5ba0bcd1f,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turning the tide on antibiotic resistance: how seaweed can help us fight superbugs of the future,https://trello.com/c/63e20b1fed3b7e2de7d06007,63e20b1fed3b7e2de7d06007,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EU biopesticide market: Pioneering innovative plant protection technologies such as RNAi in a changing regulatory environment,https://trello.com/c/65f94a220f15ed78fdaf8c0b,65f94a220f15ed78fdaf8c0b,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Student unveils product to increase life span of food,https://trello.com/c/6459ff1eabd17655bdd8d953,6459ff1eabd17655bdd8d953,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Innovators develop seaweed-based alternatives to plastic food wrappers,https://trello.com/c/63e20e6c98e86931206e597e,63e20e6c98e86931206e597e,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chaoshan raw and pickled is popular on the Internet. Is it a delicacy in the world or a rare set?,https://trello.com/c/63204ef7ab9f6801725f6412,63204ef7ab9f6801725f6412,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Vitro Evaluation of Chitosan Hydrochloride and COS (Chito-Oligosaccharides)-OGA (Oligo-Galacturonides) on Phytopathogenic Fungi and Escherichia coli,https://trello.com/c/659cf3577e659cd8efa50925,659cf3577e659cd8efa50925,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raw Milk Movement Goes Mainstream,https://trello.com/c/6572cdbcf19f282f22c60f7b,6572cdbcf19f282f22c60f7b,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New genomic techniques: A panacea for reducing pesticide use?,https://trello.com/c/65699e89db04d25916db1dcd,65699e89db04d25916db1dcd,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90% of European supermarket bread contains pesticide residues,https://trello.com/c/654de1250ae57d13e0908a93,654de1250ae57d13e0908a93,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Watercress, an Anti-Cancer Superfood",https://trello.com/c/6531233eb911b0cc3a28eed0,6531233eb911b0cc3a28eed0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extended Spectrum β-Lactamase-Producing Enterobacterales of Shrimp and Salmon,https://trello.com/c/651fb67c95b5eb1b006c0f83,651fb67c95b5eb1b006c0f83,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"How Gene-Edited Insects Are Providing Food, Fuel and Waste Disposal",https://trello.com/c/650c3f6a679f0d2a5a519b5d,650c3f6a679f0d2a5a519b5d,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Effects of Fertilizers and Conditioners on Chromium Uptake of Maize in Chromium-Polluted Farmland,https://trello.com/c/650c3f4956157023e763e71f,650c3f4956157023e763e71f,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EU citizens more at risk from pesticides show new EU statistics EU indicator on pesticides needs urgent reform,https://trello.com/c/650c3ce43aef8f63752ca5f4,650c3ce43aef8f63752ca5f4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
